Our_tra,Our_test,Traditional FL_tra,Traditional FL_test,FL + mobile_tra,FL + mobile_test,Centralized Learning_tra,Centralized Learning_test
0.971307608,0.859778306,0.75179168,0.685193983,0.853528527,0.804988124,0.949603407,0.842834521
0.968629651,0.861678543,0.767808411,0.701108472,0.854701727,0.801029295,0.955392894,0.845209818
0.967762504,0.85645289,0.781988829,0.724703088,0.854599709,0.808234363,0.940498355,0.828978622
0.971562651,0.863341251,0.76275855,0.704196358,0.855160805,0.804354711,0.948659746,0.844734759
0.966104721,0.861916073,0.752072228,0.686698337,0.852839909,0.805700713,0.95812186,0.854790182
0.969981382,0.865003959,0.787599786,0.723436263,0.857660231,0.811163895,0.939554694,0.834362629
0.970695504,0.864687253,0.748884185,0.685273159,0.857736744,0.812747427,0.965696651,0.858273951
0.973347956,0.863262074,0.754214594,0.689469517,0.855925935,0.806809184,0.966308756,0.861916073
0.950598077,0.831828979,0.763319646,0.692794933,0.853681553,0.80736342,0.94850672,0.844022169
0.970236425,0.859461599,0.772603229,0.706809184,0.840725344,0.789152811,0.971231095,0.868091845
0.971486138,0.859540776,0.776887959,0.709026128,0.841796526,0.782660333,0.935142442,0.820902613
0.969879364,0.856057007,0.751893698,0.676088678,0.855517866,0.805542359,0.960927338,0.850356295
0.968323599,0.858590657,0.776199342,0.714172605,0.8486827,0.79746635,0.953633094,0.847980998
0.965390599,0.851464766,0.778571246,0.718685669,0.855390344,0.80277118,0.95712719,0.854711006
0.968527634,0.855898654,0.782983499,0.708946952,0.852151292,0.796437055,0.884592823,0.794536817
0.969445791,0.855898654,0.764441837,0.693665875,0.851054605,0.803721298,0.948863781,0.839904988
0.972276773,0.862470309,0.75806575,0.687252573,0.855874927,0.808155186,0.96750746,0.857957245
0.971205591,0.860411718,0.789053534,0.719873317,0.856869596,0.808155186,0.968068556,0.861599367
0.972506312,0.86381631,0.787242725,0.709263658,0.845979239,0.791211401,0.945624729,0.83871734
0.968935704,0.854948535,0.783136525,0.709817894,0.85301844,0.805542359,0.945599225,0.826207443
0.968553138,0.857007126,0.797189421,0.732699921,0.854293657,0.804117181,0.950368538,0.846476643
0.969292764,0.857323832,0.789257568,0.717022961,0.855058788,0.804908947,0.948940294,0.840934283
0.971052564,0.858194774,0.793618812,0.72810768,0.848249126,0.797070467,0.93659619,0.823673793
0.967456451,0.85922407,0.792420108,0.719002375,0.856155475,0.80807601,0.933357137,0.816864608
